"","name","address_admin","APN","url","zip","county","city","y","x"
"100","Out Loud Music Festival; Tomato Art Fest","14 JAMES ROBERTSON PKWY","08215006700","https://www.outloudmusicfestival.com/",37213,"Davidson","Nashville",36.1737113004534,-86.7683128688773
"101","Out Loud Music Festival; Tomato Art Fest","14 JAMES ROBERTSON PKWY","08215006700","https://www.outloudmusicfestival.com/",37213,"Davidson","Nashville",36.1770163838316,-86.7492334409574
"102","Outback Presents","209 10TH AVE S","09309032000","https://www.outbackpresents.com/",37203,"Davidson","Nashville",36.1551063591957,-86.7825688983274
"103","Oz Arts Nashville","6172 COCKRILL BEND CIR","07900009400","https://www.ozartsnashville.org/",37209,"Davidson","Nashville",36.1796913175691,-86.8910274041475
"104","Phat Bites Deli & Bar","2730 LEBANON PIKE","09601001000","https://www.phatbites.com/",37214,"Davidson","Nashville",36.1688845558948,-86.6657065205595
"105","Plaza Mariachi","3955 NOLENSVILLE PIKE","13315015400","https://plazamariachi.com/",37211,"Davidson","Nashville",36.0845717298691,-86.7298229124813
"106","Ray Stevens CabaRay","5724 RIVER RD","10200001200","https://raystevenscabaray.com/",37209,"Davidson","Nashville",36.1295806603487,-86.9084220158718
"107","Red Door Saloon","1816 DIVISION ST","09216022300","No website available",37203,"Davidson","Nashville",36.1506328778858,-86.7959056716477
"108","Red Door Saloon East","1010 FORREST AVE","08309012700","https://reddooreast.splashthat.com/",37206,"Davidson","Nashville",36.17824763562,-86.7500578744722
"109","Redneck Riviera","208 BROADWAY","09306211100","https://redneckrivieranashville.com/",37201,"Davidson","Nashville",36.1619056148992,-86.7759017882828
"110","Renaissance Nashville Hotel-Bridge Bar","611 COMMERCE ST","09306311900","https://www.marriott.com/en-us/hotels/bnash-renaissance-nashville-hotel/dining/",37203,"Davidson","Nashville",36.1607643782364,-86.7811421947112
"111","Rippy's Smokin' Bar & Grill","429 BROADWAY","09306310400","https://www.rippyshonkytonk.com/",37203,"Davidson","Nashville",36.1603567468744,-86.7781165621406
"112","Rocketown (Main Building)","601 4TH AVE S","09310038100","https://www.rocketown.org/",37210,"Davidson","Nashville",36.1541142464825,-86.7731314057868
"113","Santa's Pub","2225 BRANSFORD AVE","10515006000","https://www.santaspub.com/",37204,"Davidson","Nashville",36.1273528785504,-86.767241247249
"114","Schermerhorn Symphony Center","1 SYMPHONY PL","09306406200","https://www.nashvillesymphony.org/",37201,"Davidson","Nashville",36.1597617885275,-86.7755446838684
"115","Sheraton Downtown Nashville","623 UNION ST","09305201600","https://www.marriott.com/en-us/hotels/bnand-sheraton-grand-nashville-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0",37219,"Davidson","Nashville",36.1631042502108,-86.7829051442598
"116","Sid Gold<92>s Request Room","3245 GALLATIN PIKE","07206004500","https://sidgolds.com/",37216,"Davidson","Nashville",36.2083496741794,-86.7354351436357
"117","Sinema","2600 8TH AVE S","11802026300","https://www.sinemanashville.com/the-lounge",37204,"Davidson","Nashville",36.122149638576,-86.7744453612786
"118","Solberg Studios","1618 JEFFERSON ST","08115059500","https://solberg-studios.business.site/?utm_source=gmb&utm_medium=referral",37208,"Davidson","Nashville",36.1704061705857,-86.8038670003989
"119","Southern Grist Brewing East Nashville","754 DOUGLAS AVE","07116030200","https://www.southerngristbrewing.com/",37207,"Davidson","Nashville",36.1931740518655,-86.7543174778608
"120","Star Rover Sound","1400 ADAMS ST","08205017200","https://www.starroversound.com/",37208,"Davidson","Nashville",36.1814843191518,-86.784138792092
"121","Symphony Lounge at Hilton Nashville Downtown","121 4TH AVE S","093064B00100CO","https://www.hilton.com/en/hotels/bnanshf-hilton-nashville-downtown/?SEO_id=GMB-AMER-HH-BNANSHF&y_source=1_MTIyMDc4Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D",37201,"Davidson","Nashville",36.1599931884855,-86.777422893388
"122","TailGate Brewery East","811 GALLATIN AVE","08305018200","https://www.tailgatebeer.com/east-nashville",37206,"Davidson","Nashville",36.1863417633244,-86.7469552776389
"123","TailGate Brewery Music Row","1538 DEMONBREUN ST","09313000800","https://www.tailgatebeer.com/",37203,"Davidson","Nashville",36.1525863095048,-86.7913341067971
"124","Tailgate Brewery-HQ","7300 CHARLOTTE PIKE","11400013700","https://www.tailgatebeer.com/",37209,"Davidson","Nashville",36.120024253727,-86.9200384050652
"125","Tennessee Brew Works","809 EWING AVE","09314033500","https://www.tnbrew.com/",37203,"Davidson","Nashville",36.1502985352342,-86.7762324160791
"126","Tequila Cowboy","305 BROADWAY","09306402600","https://tequilacowboy.com/nashville/",37201,"Davidson","Nashville",36.1612463806724,-86.7760994756584
